start_station_name,end_station_name,trip_count
11 St & Washington St,11 St & Washington St,1119
11 St & Washington St,12 Ave & W 40 St,1
11 St & Washington St,12 St & Sinatra Dr N,248
11 St & Washington St,14 St Ferry - 14 St & Shipyard Ln,391
11 St & Washington St,4 St & Grand St,349
11 St & Washington St,6 St & Grand St,313
11 St & Washington St,7 St & Monroe St,241
11 St & Washington St,8 St & Washington St,421
11 St & Washington St,9 St HBLR - Jackson St & 8 St,485
11 St & Washington St,Adams St & 11 St,314
11 St & Washington St,Adams St & 2 St,384
11 St & Washington St,Astor Place,1
11 St & Washington St,Baldwin at Montgomery,8
11 St & Washington St,Bergen Ave & Sip Ave,7
11 St & Washington St,Bergen Ave & Stegman St,1
11 St & Washington St,Bloomfield St & 15 St,218
11 St & Washington St,Broadway & W 51 St,1
11 St & Washington St,Broadway\t& W 48 St,3
11 St & Washington St,Brunswick & 6th,32
11 St & Washington St,Brunswick St,8
11 St & Washington St,Christ Hospital,14
11 St & Washington St,Church Sq Park - 5 St & Park Ave,552
11 St & Washington St,City Hall,18
11 St & Washington St,City Hall - Washington St & 1 St,1395
11 St & Washington St,Clinton St & 7 St,271
11 St & Washington St,Clinton St & Newark St,530
11 St & Washington St,Columbus Dr at Exchange Pl,39
11 St & Washington St,Columbus Drive,25
11 St & Washington St,Columbus Park - Clinton St & 9 St,241
11 St & Washington St,Communipaw & Berry Lane,3
11 St & Washington St,Dixon Mills,9
11 St & Washington St,E 30 St & Park Ave S,1
11 St & Washington St,E 47 St & Park Ave,4
11 St & Washington St,E 48 St & 5 Ave,1
11 St & Washington St,E 50 St & Park Ave,2
11 St & Washington St,E 51 St & 2 Ave,1
11 St & Washington St,Essex Light Rail,7
11 St & Washington St,Fairmount Ave,2
11 St & Washington St,Fulton St & William St,1
11 St & Washington St,Glenwood Ave,1
11 St & Washington St,Grand St,31
11 St & Washington St,Grand St & 14 St,211
11 St & Washington St,Grove St PATH,25
11 St & Washington St,Hamilton Park,50
11 St & Washington St,Harborside,59
11 St & Washington St,Heights Elevator,45
11 St & Washington St,Hilltop,14
11 St & Washington St,Hoboken Ave at Monmouth St,170
11 St & Washington St,Hoboken Terminal - Hudson St & Hudson Pl,1208
11 St & Washington St,Hoboken Terminal - River St & Hudson Pl,1244
11 St & Washington St,Hudson St & 4 St,667
11 St & Washington St,JC Medical Center,17
11 St & Washington St,Jersey & 3rd,21
11 St & Washington St,Jersey & 6th St,22
11 St & Washington St,Journal Square,4
11 St & Washington St,Lafayette Park,9
11 St & Washington St,Leonard Gordon Park,17
11 St & Washington St,Lexington Ave & E 24 St,1
11 St & Washington St,Liberty Light Rail,14
11 St & Washington St,Lincoln Park,5
11 St & Washington St,Madison St & 1 St,270
11 St & Washington St,Madison St & 10 St,488
11 St & Washington St,Mama Johnson Field - 4 St & Jackson St,209
11 St & Washington St,Manila & 1st,21
11 St & Washington St,Marin Light Rail,35
11 St & Washington St,Marshall St & 2 St,267
11 St & Washington St,McGinley Square,1
11 St & Washington St,Monmouth and 6th,17
11 St & Washington St,Montgomery St,31
11 St & Washington St,Morris Canal,8
11 St & Washington St,Murray St & Greenwich St,1
11 St & Washington St,N Moore St & Hudson St,1
11 St & Washington St,Newark Ave,26
11 St & Washington St,Newport PATH,97
11 St & Washington St,Newport Pkwy,141
11 St & Washington St,North Moore St & Greenwich St,1
11 St & Washington St,Oakland Ave,20
11 St & Washington St,Paulus Hook,8
11 St & Washington St,Pershing Field,12
11 St & Washington St,Riverview Park,40
11 St & Washington St,Sip Ave,5
11 St & Washington St,South Waterfront Walkway - Sinatra Dr & 1 St,1382
11 St & Washington St,Southwest Park - Jackson St & Observer Hwy,149
11 St & Washington St,Stevens - River Ter & 6 St,247
11 St & Washington St,Union St,1
11 St & Washington St,Van Vorst Park,19
11 St & Washington St,Vesey Pl & River Terrace,1
11 St & Washington St,W 44 St & 5 Ave,1
11 St & Washington St,Warren St,78
11 St & Washington St,Washington St,82
11 St & Washington St,Water St &  Fletcher St,2
11 St & Washington St,West St & Chambers St,1
11 St & Washington St,Willow Ave & 12 St,210
11 St & Washington St,York St & Marin Blvd,1
12 St & Sinatra Dr N,11 St & Washington St,382
12 St & Sinatra Dr N,12 Ave & W 40 St,1
12 St & Sinatra Dr N,12 St & Sinatra Dr N,2866
12 St & Sinatra Dr N,14 St Ferry - 14 St & Shipyard Ln,468
12 St & Sinatra Dr N,4 St & Grand St,258
12 St & Sinatra Dr N,5 Ave & E 29 St,1
12 St & Sinatra Dr N,5 Corners Library,3
12 St & Sinatra Dr N,6 St & Grand St,164
12 St & Sinatra Dr N,7 St & Monroe St,169
12 St & Sinatra Dr N,8 St & Washington St,498
12 St & Sinatra Dr N,9 St HBLR - Jackson St & 8 St,306
12 St & Sinatra Dr N,Adams St & 11 St,145
12 St & Sinatra Dr N,Adams St & 2 St,231
12 St & Sinatra Dr N,Baldwin at Montgomery,6
12 St & Sinatra Dr N,Bergen Ave,1
12 St & Sinatra Dr N,Bloomfield St & 15 St,240
12 St & Sinatra Dr N,Broadway & Battery Pl,2
12 St & Sinatra Dr N,Broadway\t& W 48 St,1
12 St & Sinatra Dr N,Brunswick & 6th,9
12 St & Sinatra Dr N,Brunswick St,13
12 St & Sinatra Dr N,Bus Slip & State St,2
12 St & Sinatra Dr N,Carmine St & 6 Ave,1
12 St & Sinatra Dr N,Christ Hospital,5
12 St & Sinatra Dr N,Christopher St & Greenwich St,1
12 St & Sinatra Dr N,Church Sq Park - 5 St & Park Ave,296
12 St & Sinatra Dr N,City Hall,13
12 St & Sinatra Dr N,City Hall - Washington St & 1 St,542
12 St & Sinatra Dr N,Clinton St & 7 St,192
12 St & Sinatra Dr N,Clinton St & Newark St,238
12 St & Sinatra Dr N,Columbus Dr at Exchange Pl,66
12 St & Sinatra Dr N,Columbus Drive,58
12 St & Sinatra Dr N,Columbus Park - Clinton St & 9 St,186
12 St & Sinatra Dr N,Communipaw & Berry Lane,2
12 St & Sinatra Dr N,Dixon Mills,4
12 St & Sinatra Dr N,E 47 St & Park Ave,2
12 St & Sinatra Dr N,E 51 St & 2 Ave,1
12 St & Sinatra Dr N,Essex Light Rail,21
12 St & Sinatra Dr N,Fairmount Ave,2
12 St & Sinatra Dr N,Franklin St & W Broadway,2
12 St & Sinatra Dr N,Glenwood Ave,6
12 St & Sinatra Dr N,Grand St,64
12 St & Sinatra Dr N,Grand St & 14 St,180
12 St & Sinatra Dr N,Greene St & Prince St,3
12 St & Sinatra Dr N,Greenwich St & Hubert St,5
12 St & Sinatra Dr N,Greenwich St & W Houston St,1
12 St & Sinatra Dr N,Grove St PATH,34
12 St & Sinatra Dr N,Hamilton Park,52
12 St & Sinatra Dr N,Harborside,103
12 St & Sinatra Dr N,Heights Elevator,29
12 St & Sinatra Dr N,Hilltop,47
12 St & Sinatra Dr N,Hoboken Ave at Monmouth St,147
12 St & Sinatra Dr N,Hoboken Terminal - Hudson St & Hudson Pl,506
12 St & Sinatra Dr N,Hoboken Terminal - River St & Hudson Pl,1290
12 St & Sinatra Dr N,Hudson St & 4 St,976
12 St & Sinatra Dr N,JC Medical Center,8
12 St & Sinatra Dr N,Jersey & 3rd,15
12 St & Sinatra Dr N,Jersey & 6th St,10
12 St & Sinatra Dr N,Journal Square,1
12 St & Sinatra Dr N,Lafayette Park,7
12 St & Sinatra Dr N,Laight St & Hudson St,1
12 St & Sinatra Dr N,Leonard Gordon Park,18
12 St & Sinatra Dr N,Liberty Light Rail,5
12 St & Sinatra Dr N,Lincoln Park,2
12 St & Sinatra Dr N,Madison St & 1 St,201
12 St & Sinatra Dr N,Madison St & 10 St,200
12 St & Sinatra Dr N,Mama Johnson Field - 4 St & Jackson St,46
12 St & Sinatra Dr N,Manila & 1st,21
12 St & Sinatra Dr N,Marin Light Rail,38
12 St & Sinatra Dr N,Marshall St & 2 St,139
12 St & Sinatra Dr N,McGinley Square,3
12 St & Sinatra Dr N,Monmouth and 6th,13
12 St & Sinatra Dr N,Montgomery St,2
12 St & Sinatra Dr N,Morris Canal,26
12 St & Sinatra Dr N,Newark Ave,23
12 St & Sinatra Dr N,Newport PATH,143
12 St & Sinatra Dr N,Newport Pkwy,287
12 St & Sinatra Dr N,North Moore St & Greenwich St,9
12 St & Sinatra Dr N,Oakland Ave,2
12 St & Sinatra Dr N,Paulus Hook,34
12 St & Sinatra Dr N,Pershing Field,16
12 St & Sinatra Dr N,Pier 40 - Hudson River Park,1
12 St & Sinatra Dr N,Riverview Park,33
12 St & Sinatra Dr N,Soissons Landing,1
12 St & Sinatra Dr N,South St & Whitehall St,1
12 St & Sinatra Dr N,South Waterfront Walkway - Sinatra Dr & 1 St,3944
12 St & Sinatra Dr N,Southwest Park - Jackson St & Observer Hwy,147
12 St & Sinatra Dr N,Stevens - River Ter & 6 St,180
12 St & Sinatra Dr N,Union St,1
12 St & Sinatra Dr N,Van Vorst Park,17
12 St & Sinatra Dr N,Vesey Pl & River Terrace,3
12 St & Sinatra Dr N,W 35 St & 8 Ave,1
12 St & Sinatra Dr N,W 44 St & 5 Ave,2
12 St & Sinatra Dr N,W Broadway & Spring St,1
12 St & Sinatra Dr N,W Broadway & W Houston St,11
12 St & Sinatra Dr N,Warren St,172
12 St & Sinatra Dr N,Washington St,107
12 St & Sinatra Dr N,Washington St & Laight St,3
12 St & Sinatra Dr N,West St & Chambers St,2
12 St & Sinatra Dr N,Willow Ave & 12 St,136
12 St & Sinatra Dr N,York St & Marin Blvd,1
14 St Ferry - 14 St & Shipyard Ln,11 St & Washington St,490
14 St Ferry - 14 St & Shipyard Ln,12 Ave & W 40 St,2
14 St Ferry - 14 St & Shipyard Ln,12 St & Sinatra Dr N,616
14 St Ferry - 14 St & Shipyard Ln,14 St Ferry - 14 St & Shipyard Ln,2258
14 St Ferry - 14 St & Shipyard Ln,2 Ave & E 72 St,1
14 St Ferry - 14 St & Shipyard Ln,4 St & Grand St,241
14 St Ferry - 14 St & Shipyard Ln,6 St & Grand St,195
14 St Ferry - 14 St & Shipyard Ln,7 St & Monroe St,196
14 St Ferry - 14 St & Shipyard Ln,8 Ave & W 49 St,1
14 St Ferry - 14 St & Shipyard Ln,8 St & Washington St,602
14 St Ferry - 14 St & Shipyard Ln,9 Ave & W 18 St,2
14 St Ferry - 14 St & Shipyard Ln,9 St HBLR - Jackson St & 8 St,376
14 St Ferry - 14 St & Shipyard Ln,Adams St & 11 St,294
14 St Ferry - 14 St & Shipyard Ln,Adams St & 2 St,191
14 St Ferry - 14 St & Shipyard Ln,Astor Place,1
14 St Ferry - 14 St & Shipyard Ln,Baldwin at Montgomery,9
14 St Ferry - 14 St & Shipyard Ln,Bank St & Washington St,1
14 St Ferry - 14 St & Shipyard Ln,Bergen Ave & Sip Ave,1
14 St Ferry - 14 St & Shipyard Ln,Bergen Ave & Stegman St,1
14 St Ferry - 14 St & Shipyard Ln,Bloomfield St & 15 St,283
14 St Ferry - 14 St & Shipyard Ln,Broadway & Battery Pl,1
14 St Ferry - 14 St & Shipyard Ln,Broadway & W 29 St,1
14 St Ferry - 14 St & Shipyard Ln,Brunswick & 6th,17
14 St Ferry - 14 St & Shipyard Ln,Brunswick St,10
14 St Ferry - 14 St & Shipyard Ln,Bus Slip & State St,1
14 St Ferry - 14 St & Shipyard Ln,Cabrini Blvd & W 177 St,4
14 St Ferry - 14 St & Shipyard Ln,Central Park North & Adam Clayton Powell Blvd,2
14 St Ferry - 14 St & Shipyard Ln,Christ Hospital,8
14 St Ferry - 14 St & Shipyard Ln,Church Sq Park - 5 St & Park Ave,338
14 St Ferry - 14 St & Shipyard Ln,City Hall,8
14 St Ferry - 14 St & Shipyard Ln,City Hall - Washington St & 1 St,620
14 St Ferry - 14 St & Shipyard Ln,Clinton St & 7 St,264
14 St Ferry - 14 St & Shipyard Ln,Clinton St & Newark St,303
14 St Ferry - 14 St & Shipyard Ln,Columbus Ave & W 95 St,1
14 St Ferry - 14 St & Shipyard Ln,Columbus Dr at Exchange Pl,42
14 St Ferry - 14 St & Shipyard Ln,Columbus Drive,48
14 St Ferry - 14 St & Shipyard Ln,Columbus Park - Clinton St & 9 St,329
14 St Ferry - 14 St & Shipyard Ln,Communipaw & Berry Lane,2
14 St Ferry - 14 St & Shipyard Ln,Dey St,5
14 St Ferry - 14 St & Shipyard Ln,Dixon Mills,4
14 St Ferry - 14 St & Shipyard Ln,E 47 St & Park Ave,2
14 St Ferry - 14 St & Shipyard Ln,E 58 St & 3 Ave,1
14 St Ferry - 14 St & Shipyard Ln,E 59 St & Madison Ave,1
14 St Ferry - 14 St & Shipyard Ln,Essex Light Rail,20
14 St Ferry - 14 St & Shipyard Ln,Fairmount Ave,1
14 St Ferry - 14 St & Shipyard Ln,Glenwood Ave,4
14 St Ferry - 14 St & Shipyard Ln,Grand St,138
14 St Ferry - 14 St & Shipyard Ln,Grand St & 14 St,308
14 St Ferry - 14 St & Shipyard Ln,Greenwich St & Hubert St,2
14 St Ferry - 14 St & Shipyard Ln,Grove St PATH,32
14 St Ferry - 14 St & Shipyard Ln,Hamilton Park,81
14 St Ferry - 14 St & Shipyard Ln,Harborside,84
14 St Ferry - 14 St & Shipyard Ln,Heights Elevator,71
14 St Ferry - 14 St & Shipyard Ln,Hilltop,19
14 St Ferry - 14 St & Shipyard Ln,Hoboken Ave at Monmouth St,119
14 St Ferry - 14 St & Shipyard Ln,Hoboken Terminal - Hudson St & Hudson Pl,465
14 St Ferry - 14 St & Shipyard Ln,Hoboken Terminal - River St & Hudson Pl,1141
14 St Ferry - 14 St & Shipyard Ln,Hudson St & 4 St,1069
14 St Ferry - 14 St & Shipyard Ln,JC Medical Center,13
14 St Ferry - 14 St & Shipyard Ln,Jersey & 3rd,9
14 St Ferry - 14 St & Shipyard Ln,Jersey & 6th St,22
14 St Ferry - 14 St & Shipyard Ln,Lafayette Park,7
14 St Ferry - 14 St & Shipyard Ln,Laight St & Hudson St,1
14 St Ferry - 14 St & Shipyard Ln,Leonard Gordon Park,7
14 St Ferry - 14 St & Shipyard Ln,Liberty Light Rail,8
14 St Ferry - 14 St & Shipyard Ln,Lincoln Park,1
14 St Ferry - 14 St & Shipyard Ln,Madison St & 1 St,162
14 St Ferry - 14 St & Shipyard Ln,Madison St & 10 St,343
14 St Ferry - 14 St & Shipyard Ln,Mama Johnson Field - 4 St & Jackson St,54
14 St Ferry - 14 St & Shipyard Ln,Manila & 1st,39
14 St Ferry - 14 St & Shipyard Ln,Marin Light Rail,56
14 St Ferry - 14 St & Shipyard Ln,Marshall St & 2 St,94
14 St Ferry - 14 St & Shipyard Ln,McGinley Square,4
14 St Ferry - 14 St & Shipyard Ln,Monmouth and 6th,13
14 St Ferry - 14 St & Shipyard Ln,Montgomery St,3
14 St Ferry - 14 St & Shipyard Ln,Morris Canal,24
14 St Ferry - 14 St & Shipyard Ln,N Moore St & Hudson St,1
14 St Ferry - 14 St & Shipyard Ln,Newark Ave,32
14 St Ferry - 14 St & Shipyard Ln,Newport PATH,145
14 St Ferry - 14 St & Shipyard Ln,Newport Pkwy,386
14 St Ferry - 14 St & Shipyard Ln,North Moore St & Greenwich St,3
14 St Ferry - 14 St & Shipyard Ln,Oakland Ave,19
14 St Ferry - 14 St & Shipyard Ln,Paulus Hook,36
14 St Ferry - 14 St & Shipyard Ln,Pershing Field,24
14 St Ferry - 14 St & Shipyard Ln,Riverview Park,65
14 St Ferry - 14 St & Shipyard Ln,Sip Ave,3
14 St Ferry - 14 St & Shipyard Ln,Soissons Landing,1
14 St Ferry - 14 St & Shipyard Ln,South Waterfront Walkway - Sinatra Dr & 1 St,3013
14 St Ferry - 14 St & Shipyard Ln,Southwest Park - Jackson St & Observer Hwy,93
14 St Ferry - 14 St & Shipyard Ln,Stevens - River Ter & 6 St,246
14 St Ferry - 14 St & Shipyard Ln,Union St,2
14 St Ferry - 14 St & Shipyard Ln,University Pl & E 14 St,1
14 St Ferry - 14 St & Shipyard Ln,Van Vorst Park,17
14 St Ferry - 14 St & Shipyard Ln,Vernon Blvd & 47 Rd,1
14 St Ferry - 14 St & Shipyard Ln,Vesey Pl & River Terrace,1
14 St Ferry - 14 St & Shipyard Ln,W 116 St & Amsterdam Ave,2
14 St Ferry - 14 St & Shipyard Ln,W 16 St & The High Line,1
14 St Ferry - 14 St & Shipyard Ln,W 34 St & 11 Ave,4
14 St Ferry - 14 St & Shipyard Ln,W 34 St &\tHudson Blvd E,1
14 St Ferry - 14 St & Shipyard Ln,W 52 St & 6 Ave,1
14 St Ferry - 14 St & Shipyard Ln,W 59 St & 10 Ave,1
14 St Ferry - 14 St & Shipyard Ln,W Broadway & Spring St,1
14 St Ferry - 14 St & Shipyard Ln,W Broadway & W Houston St,7
14 St Ferry - 14 St & Shipyard Ln,Warren St,108
14 St Ferry - 14 St & Shipyard Ln,Washington St,131
14 St Ferry - 14 St & Shipyard Ln,Washington St & Laight St,3
14 St Ferry - 14 St & Shipyard Ln,Willow Ave & 12 St,248
14 St Ferry - 14 St & Shipyard Ln,York St & Marin Blvd,2
4 St & Grand St,11 St & Washington St,297
4 St & Grand St,12 St & Sinatra Dr N,199
4 St & Grand St,14 St Ferry - 14 St & Shipyard Ln,259
4 St & Grand St,4 St & Grand St,613
4 St & Grand St,5 Corners Library,4
4 St & Grand St,6 St & Grand St,157
4 St & Grand St,7 St & Monroe St,108
4 St & Grand St,8 St & Washington St,162
4 St & Grand St,9 St HBLR - Jackson St & 8 St,102
4 St & Grand St,Adams St & 11 St,77
4 St & Grand St,Adams St & 2 St,119
4 St & Grand St,Astor Place,1
4 St & Grand St,Baldwin at Montgomery,11
4 St & Grand St,Bergen Ave,2
4 St & Grand St,Bergen Ave & Sip Ave,6
4 St & Grand St,Bloomfield St & 15 St,151
4 St & Grand St,Brunswick & 6th,6
4 St & Grand St,Brunswick St,16
4 St & Grand St,Cabrini Blvd & W 177 St,1
4 St & Grand St,Christ Hospital,18
4 St & Grand St,Church Sq Park - 5 St & Park Ave,180
4 St & Grand St,City Hall,12
4 St & Grand St,City Hall - Washington St & 1 St,778
4 St & Grand St,Clinton St & 7 St,225
4 St & Grand St,Clinton St & Newark St,265
4 St & Grand St,Columbus Dr at Exchange Pl,17
4 St & Grand St,Columbus Drive,27
4 St & Grand St,Columbus Park - Clinton St & 9 St,335
4 St & Grand St,Communipaw & Berry Lane,3
4 St & Grand St,Dey St,11
4 St & Grand St,Dixon Mills,9
4 St & Grand St,Essex Light Rail,6
4 St & Grand St,Fairmount Ave,1
4 St & Grand St,Grand St,14
4 St & Grand St,Grand St & 14 St,383
4 St & Grand St,Grove St PATH,43
4 St & Grand St,Hamilton Park,40
4 St & Grand St,Harborside,20
4 St & Grand St,Heights Elevator,24
4 St & Grand St,Hilltop,8
4 St & Grand St,Hoboken Ave at Monmouth St,125
4 St & Grand St,Hoboken Terminal - Hudson St & Hudson Pl,1100
4 St & Grand St,Hoboken Terminal - River St & Hudson Pl,1481
4 St & Grand St,Hudson St & 4 St,254
4 St & Grand St,JC Medical Center,10
4 St & Grand St,Jersey & 3rd,14
4 St & Grand St,Jersey & 6th St,10
4 St & Grand St,Journal Square,3
4 St & Grand St,Lafayette Park,3
4 St & Grand St,Leonard Gordon Park,20
4 St & Grand St,Liberty Light Rail,8
4 St & Grand St,Lincoln Park,1
4 St & Grand St,Madison St & 1 St,97
4 St & Grand St,Madison St & 10 St,242
4 St & Grand St,Mama Johnson Field - 4 St & Jackson St,93
4 St & Grand St,Manila & 1st,19
4 St & Grand St,Marin Light Rail,21
4 St & Grand St,Marshall St & 2 St,154
4 St & Grand St,Monmouth and 6th,14
4 St & Grand St,Montgomery St,5
4 St & Grand St,Morris Canal,12
4 St & Grand St,Newark Ave,10
4 St & Grand St,Newport PATH,59
4 St & Grand St,Newport Pkwy,83
4 St & Grand St,Oakland Ave,24
4 St & Grand St,Paulus Hook,4
4 St & Grand St,Pershing Field,19
4 St & Grand St,Riverview Park,30
4 St & Grand St,Sip Ave,3
4 St & Grand St,South Waterfront Walkway - Sinatra Dr & 1 St,811
4 St & Grand St,Southwest Park - Jackson St & Observer Hwy,214
4 St & Grand St,Stevens - River Ter & 6 St,145
4 St & Grand St,Union St,8
4 St & Grand St,Van Vorst Park,9
4 St & Grand St,Warren St,39
4 St & Grand St,Washington St,139
4 St & Grand St,Willow Ave & 12 St,295
5 Corners Library,11 St & Washington St,6
5 Corners Library,12 St & Sinatra Dr N,6
5 Corners Library,14 St Ferry - 14 St & Shipyard Ln,3
5 Corners Library,4 St & Grand St,8
5 Corners Library,5 Corners Library,261
5 Corners Library,6 St & Grand St,5
5 Corners Library,7 St & Monroe St,6
5 Corners Library,8 St & Washington St,1
5 Corners Library,9 St HBLR - Jackson St & 8 St,4
5 Corners Library,Adams St & 11 St,2
5 Corners Library,Adams St & 2 St,5
5 Corners Library,Astor Place,18
5 Corners Library,Baldwin at Montgomery,52
5 Corners Library,Bergen Ave,49
5 Corners Library,Bergen Ave & Sip Ave,70
5 Corners Library,Bergen Ave & Stegman St,14
5 Corners Library,Bloomfield St & 15 St,5
5 Corners Library,Brunswick & 6th,34
5 Corners Library,Brunswick St,77
5 Corners Library,Christ Hospital,123
5 Corners Library,Church Sq Park - 5 St & Park Ave,9
5 Corners Library,City Hall,17
5 Corners Library,City Hall - Washington St & 1 St,33
5 Corners Library,Clinton St & 7 St,3
5 Corners Library,Clinton St & Newark St,13
5 Corners Library,Columbus Dr at Exchange Pl,29
5 Corners Library,Columbus Drive,37
5 Corners Library,Columbus Park - Clinton St & 9 St,4
5 Corners Library,Communipaw & Berry Lane,10
5 Corners Library,Dey St,36
5 Corners Library,Dixon Mills,2
5 Corners Library,Essex Light Rail,2
5 Corners Library,Fairmount Ave,28
5 Corners Library,Glenwood Ave,13
5 Corners Library,Grand St,8
5 Corners Library,Grand St & 14 St,6
5 Corners Library,Grant Ave & MLK Dr,1
5 Corners Library,Grove St PATH,43
5 Corners Library,Hamilton Park,146
5 Corners Library,Harborside,27
5 Corners Library,Heights Elevator,38
5 Corners Library,Hilltop,83
5 Corners Library,Hoboken Ave at Monmouth St,37
5 Corners Library,Hoboken Terminal - Hudson St & Hudson Pl,8
5 Corners Library,Hoboken Terminal - River St & Hudson Pl,21
5 Corners Library,Hudson St & 4 St,26
5 Corners Library,JC Medical Center,17
5 Corners Library,Jackson Square,8
5 Corners Library,Jersey & 3rd,100
5 Corners Library,Jersey & 6th St,14
5 Corners Library,Journal Square,134
5 Corners Library,Lafayette Park,2
5 Corners Library,Leonard Gordon Park,157
5 Corners Library,Liberty Light Rail,19
5 Corners Library,Lincoln Park,51
5 Corners Library,Madison St & 1 St,8
5 Corners Library,Madison St & 10 St,4
5 Corners Library,Mama Johnson Field - 4 St & Jackson St,6
5 Corners Library,Manila & 1st,60
5 Corners Library,Marin Light Rail,21
5 Corners Library,Marshall St & 2 St,4
5 Corners Library,McGinley Square,42
5 Corners Library,Monmouth and 6th,22
5 Corners Library,Montgomery St,32
5 Corners Library,Morris Canal,4
5 Corners Library,Newark Ave,78
5 Corners Library,Newport PATH,36
5 Corners Library,Newport Pkwy,41
5 Corners Library,Oakland Ave,116
5 Corners Library,Paulus Hook,12
5 Corners Library,Pershing Field,232
5 Corners Library,Riverview Park,77
5 Corners Library,Sip Ave,99
5 Corners Library,South Waterfront Walkway - Sinatra Dr & 1 St,8
5 Corners Library,Southwest Park - Jackson St & Observer Hwy,9
5 Corners Library,Stevens - River Ter & 6 St,17
5 Corners Library,Union St,35
5 Corners Library,Van Vorst Park,20
5 Corners Library,Warren St,27
5 Corners Library,Washington St,70
5 Corners Library,Willow Ave & 12 St,6
5 Corners Library,York St & Marin Blvd,1
6 St & Grand St,11 St & Washington St,258
6 St & Grand St,12 St & Sinatra Dr N,181
6 St & Grand St,14 St Ferry - 14 St & Shipyard Ln,181
6 St & Grand St,4 St & Grand St,203
6 St & Grand St,5 Corners Library,2
6 St & Grand St,6 St & Grand St,365
6 St & Grand St,7 St & Monroe St,101
6 St & Grand St,8 St & Washington St,95
6 St & Grand St,9 St HBLR - Jackson St & 8 St,140
6 St & Grand St,Adams St & 11 St,66
6 St & Grand St,Adams St & 2 St,208
6 St & Grand St,Baldwin at Montgomery,10
6 St & Grand St,Bergen Ave & Sip Ave,3
6 St & Grand St,Bloomfield St & 15 St,168
6 St & Grand St,Brunswick & 6th,12
6 St & Grand St,Brunswick St,5
6 St & Grand St,Christ Hospital,23
6 St & Grand St,Church Sq Park - 5 St & Park Ave,173
6 St & Grand St,City Hall,7
6 St & Grand St,City Hall - Washington St & 1 St,615
6 St & Grand St,Clinton St & 7 St,181
6 St & Grand St,Clinton St & Newark St,191
6 St & Grand St,Columbus Dr at Exchange Pl,9
6 St & Grand St,Columbus Drive,8
6 St & Grand St,Columbus Park - Clinton St & 9 St,189
6 St & Grand St,Communipaw & Berry Lane,2
6 St & Grand St,Dey St,6
6 St & Grand St,Dixon Mills,2
6 St & Grand St,Essex Light Rail,4
6 St & Grand St,Fairmount Ave,1
6 St & Grand St,Grand St,5
6 St & Grand St,Grand St & 14 St,307
6 St & Grand St,Grove St PATH,12
6 St & Grand St,Hamilton Park,30
6 St & Grand St,Harborside,40
6 St & Grand St,Heights Elevator,37
6 St & Grand St,Hilltop,4
6 St & Grand St,Hoboken Ave at Monmouth St,180
6 St & Grand St,Hoboken Terminal - Hudson St & Hudson Pl,927
6 St & Grand St,Hoboken Terminal - River St & Hudson Pl,926
6 St & Grand St,Hudson St & 4 St,190
6 St & Grand St,JC Medical Center,6
6 St & Grand St,Jersey & 3rd,8
6 St & Grand St,Jersey & 6th St,12
6 St & Grand St,Journal Square,4
6 St & Grand St,Lafayette Park,2
6 St & Grand St,Leonard Gordon Park,45
6 St & Grand St,Liberty Light Rail,4
6 St & Grand St,Madison St & 1 St,159
6 St & Grand St,Madison St & 10 St,143
6 St & Grand St,Mama Johnson Field - 4 St & Jackson St,60
6 St & Grand St,Manila & 1st,9
6 St & Grand St,Marin Light Rail,7
6 St & Grand St,Marshall St & 2 St,102
6 St & Grand St,McGinley Square,3
6 St & Grand St,Monmouth and 6th,12
6 St & Grand St,Montgomery St,2
6 St & Grand St,Newark Ave,11
6 St & Grand St,Newport PATH,74
6 St & Grand St,Newport Pkwy,64
6 St & Grand St,Oakland Ave,6
6 St & Grand St,Paulus Hook,6
6 St & Grand St,Pershing Field,25
6 St & Grand St,Riverview Park,23
6 St & Grand St,Sip Ave,2
6 St & Grand St,South Waterfront Walkway - Sinatra Dr & 1 St,656
6 St & Grand St,Southwest Park - Jackson St & Observer Hwy,152
6 St & Grand St,Stevens - River Ter & 6 St,102
6 St & Grand St,Union St,1
6 St & Grand St,Van Vorst Park,5
6 St & Grand St,Warren St,13
6 St & Grand St,Washington St,47
6 St & Grand St,Willow Ave & 12 St,151
7 St & Monroe St,11 St & Washington St,253
7 St & Monroe St,12 St & Sinatra Dr N,260
7 St & Monroe St,14 St Ferry - 14 St & Shipyard Ln,201
7 St & Monroe St,4 St & Grand St,135
7 St & Monroe St,5 Corners Library,10
7 St & Monroe St,6 St & Grand St,103
7 St & Monroe St,7 St & Monroe St,583
7 St & Monroe St,8 St & Washington St,324
7 St & Monroe St,9 St HBLR - Jackson St & 8 St,210
7 St & Monroe St,Adams St & 11 St,60
7 St & Monroe St,Adams St & 2 St,253
7 St & Monroe St,Astor Place,4
7 St & Monroe St,Baldwin at Montgomery,20
7 St & Monroe St,Bergen Ave & Sip Ave,4
7 St & Monroe St,Bloomfield St & 15 St,297
7 St & Monroe St,Brunswick & 6th,18
7 St & Monroe St,Brunswick St,27
7 St & Monroe St,Christ Hospital,4
7 St & Monroe St,Church Sq Park - 5 St & Park Ave,349
7 St & Monroe St,City Hall,14
7 St & Monroe St,City Hall - Washington St & 1 St,742
